,Name,Country,City
1188,Barcelona International Airport,Spain,Barcelona
1194,Getafe Air Base,Spain,Madrid
1198,Adolfo Suárez Madrid–Barajas Airport,Spain,Madrid
1214,Torrejón Airport,Spain,Madrid
1217,Cuatro Vientos,Spain,Madrid
2690,General José Antonio Anzoategui International Airport,Venezuela,Barcelona
6302,Barcelona Cruise Terminal,Spain,Barcelona
8046,Atocha,Spain,Madrid
8053,Chamartin Station,Spain,Madrid
8055,Aeroport,Spain,Barcelona
8056,Passeig de Gracia,Spain,Barcelona
8057,Sants,Spain,Barcelona
8846,Barajas Station,Spain,Madrid
9156,Aeropuerto T4 Madrid Metro,Spain,Madrid
10033,Estacio de Franca,Spain,Barcelona
10264,Placa d Espanya Station,Spain,Barcelona
10435,Cuatro Vientos Airport,Spain,Madrid
11435,Barcelona-Sants,Spain,Barcelona
11437,Madrid Estacion Sur,Spain,Madrid
